Zip Code,Area,Resident Population,Latitude,Longitude
96701,Aiea,42833,21.3851,-157.9309
96706,Ewa Beach,80299,21.3156,-158.0072
96707,Kapolei,47181,21.3356,-158.0562
96712,Haleiwa,8259,21.5934,-158.1040
96717,Hauula,5441,21.6110,-157.9061
96730,Kaawa,1584,21.5572,-157.8595
96731,Kahuku,3309,21.6781,-157.9571
96734,Kailua,49922,21.4022,-157.7391
96744,Kaneohe,57746,21.3967,-157.8019
96759,Kunia,479,21.4758,-158.0542
96762,Laie,6316,21.6453,-157.9224
96782,Pearl City,37437,21.3972,-157.9733
96786,Wahiawa,41217,21.5020,-158.0227
96789,Mililani,54732,21.4510,-158.0053
96791,Waialua,7987,21.5751,-158.1297
96792,Waianae,51965,21.4389,-158.1809
96795,Waimanalo,11064,21.3482,-157.7142
96797,Waipahu,78109,21.3867,-158.0092
96813,Downtown,27372,21.3069,-157.8583
96814,Downtown,24870,21.2950,-157.8460
96815,Waikiki,28786,21.2787,-157.8275
96816,Waialae Kahala,51586,21.2852,-157.7885
96817,Kapalama,56823,21.3289,-157.8677
96818,Main Office,51851,21.3515,-157.9304
96819,Sand Island,53334,21.3280,-157.8841
96820,Daniel K. Inouye Airport,16,21.3245,-157.9246
96821,Hawaii Kai,19727,21.2846,-157.7160
96822,Makiki,42231,21.3101,-157.8353
96825,Hawaii Kai,31147,21.2872,-157.6935
96826,Makiki,30092,21.2923,-157.8220
96850,Honolulu,6,21.3069,-157.8583
96853,Hickam AFB,347,21.3241,-157.9350
96857,Schofield Barracks,4058,21.4966,-158.0640
96859,Tripler Army Med. Center,,21.3571,-157.8942
96860,Pearl Harbor,5025,21.3624,-157.9495
96863,MCBH Kaneohe Bay,2458,21.4505,-157.7714
96848,East West Center,475,21.2994,-157.8164
96858,Fort Shafter,424,21.3419,-157.8869
